"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Bing","FGOALS-g3","SSP1","2085",87,104,120,1.98989898989899,0.707070707070707,13.4308406029997,1.24707070707071,25.9735353535354,16,5,27,11
"Bing","FIO-ESM-2-0","SSP1","2085",83,106,124,3.77777777777778,1.46464646464646,12.0363261401898,0.255555555555556,24.0358585858586,22,8,44,21
"Bing","GFDL-ESM4","SSP1","2085",85,106,123,2.94949494949495,1,12.5582495408632,0.240808080808081,25.0332323232323,19,6,42,18
"Bing","HadGEM3-GC31-LL","SSP1","2085",86,106,123,1.46464646464646,0.404040404040404,13.6753378481788,1.39939393939394,26.220404040404,9,4,29,7
"Bing","HadGEM3-GC31-MM","SSP1","2085",86,109,125,1.51515151515152,0.474747474747475,13.363245332109,1.36868686868687,25.4921212121212,11,3,28,8
"Bing","INM-CM4-8","SSP1","2085",85,104,123,2.17171717171717,0.787878787878788,12.6762132690542,1.09515151515152,24.5641414141414,18,7,30,12
"Bing","INM-CM5-0","SSP1","2085",82,105,124,4.39393939393939,1.67676767676768,11.9636795990205,-0.376565656565657,23.9948484848485,25,10,55,21
"Bing","IPSL-CM6A-LR","SSP1","2085",85,107,125,2.26262626262626,0.636363636363636,12.3084764309764,0.854545454545454,23.8925252525253,14,4,33,11
"Bing","MIROC6","SSP1","2085",85,106,123,3.60606060606061,1.3030303030303,12.473427073768,0.0366666666666667,25.1273737373737,24,11,48,21
"Bing","MPI-ESM1-2-LR","SSP1","2085",85,106,125,3.28282828282828,1.03030303030303,11.9033187940006,0.132525252525253,23.75,23,7,49,19
"Bing","MRI-ESM2-0","SSP1","2085",90,111,127,4.98989898989899,1.25252525252525,11.5954166666667,-0.857171717171717,24.030404040404,38,11,62,32
"Bing","NESM3","SSP1","2085",88,107,125,1.07070707070707,0.202020202020202,13.471712962963,1.58282828282828,25.4086868686869,7,2,24,4
"Bing","ACCESS-CM2","SSP2","2085",87,108,134,1,0.212121212121212,13.9548561371289,2.13040404040404,25.9963636363636,9,1,20,4
"Bing","AWI-CM-1-1-MR","SSP2","2085",86,106,134,0.555555555555556,0.171717171717172,14.3172597183961,2.87818181818182,26.0315151515152,5,1,11,5
"Bing","CIESM","SSP2","2085",88,106,123,3.3030303030303,1.1010101010101,13.3847601010101,-0.214747474747475,27.1970707070707,24,8,51,25
"Bing","CMCC-ESM2","SSP2","2085",86,109,135,1.19191919191919,0.363636363636364,14.0277043158861,1.64989898989899,26.320101010101,10,3,24,8
"Bing","CNRM-CM6-1-HR","SSP2","2085",86,108,132,1.63636363636364,0.474747474747475,13.2381615396388,1.2540404040404,25.3676767676768,10,4,30,8
"Bing","CNRM-ESM2-1","SSP2","2085",88,109,126,2.68686868686869,0.646464646464647,12.2238456535047,0.29040404040404,24.360303030303,19,5,48,15
"Bing","EC-Earth3-CC","SSP2","2085",86,106,124,1.36363636363636,0.343434343434343,12.9402605601469,1.5889898989899,24.5984848484848,9,3,26,6
